一    yī: one
午    wǔ: noon, midday
许    xǔ: to allow, maybe
得    dé / de / děi: get, gain / suffix / must
但    dàn: but, yet
青    qīng: green, young
清    qǐng: clear, Qing Dynasty
情    qíng: feeling, emotion, passion, situation
请    qǐng: please, request, invite
精    jīng: refined, perfect, spirit
能    néng: can, be able to, ability, energy
开    kāi: to open, to start
并    bìng: combine, and
关    guān: close, turn off, customs house, barriers
送    sòng: deliver, give as gift, see sb off
车    chē: car, vehicle
连    lián: to join, link, even, company military unit
军    jūn: army, military, arms
此    cǐ: this, these
些    xiē: some
老    lǎo: old
考    kǎo: test, exam
者    zhě: person, thing
教    jiāo / jiào: teach, instruction / teach, instruction, religion
师    shī: teacher
着    zhāo / zhe: catch, touch / suffix
会    huì: meet, meeting, association, be able to, be likely to
两    liǎng: two, both, unit of weight
史    shǐ: history
使    shǐ: make, cause, envoy, messenger
更    gēng / gèng: to change / more, still more
便    biàn / pián: than, convenient, informal / cheap
交    jiaō: hand in, cross, make friend, mutual
校    xiào / jiào: school / proofread, to check, to compare
较    jiào: compare, comparatively, quite
回    huí: to return, circle, wind
合    hé: suit, fit, join, combine, close, shut
拿    ná: to take, to hold, to get
给    gěi / jǐ: give, grant, for, by / supply ,
答    dā / dá: to answer, reply
正    zhèng / zhēng: upright, straight, correct, principle / Chinese 1st month of year
证    zhēng: prove, evidence, certificate, card
政    zhèng: politics, government
整    zhěng: exactly, whole, entire
立    lì: to stand, establish
位    wèi: place, location, a polite measure for people
音    yīn: sound, noise, news
意    yì: mind, meaning, idea
找    zhǎo: to look for, give change
公    gōng: public, common, male animal, husband father, metric system
共    gòng: together, common, Communist Party
打    dǎ / dá: hit, strike, play, make / dozen
收    shōu: to receive, to accept, income
都    dōu / dū: both, all / Chinese surname, metropolis, capital city
当    dāng / dàng: work as, ought to, just at / proper, right
常    cháng: usually, often, ordinary
气    qì: air, gas, make angry
汽    qì: steam, vapor
过    guò: pass, cross, indicating past action
成    chéng: finish, complete, accomplish
别    bié: leave, part, other, another, don't
相    xiàng: looks, appearance, each other,
想    xiǎng: think, miss, want to
思    sī: to think, thought
志    zhì: will, aspiration, keep in mind, mark, sign
感    gǎn: feel, feeling, be grateful
厂    chǎng: factory, mill
长    cháng / zhǎng: long / grow, leader
借    jiè: borrow, lend
练    liàn: to practice
晚    wǎn: evening, night, late
其    qí: his, her, it's, their, he, she, it, they, that, such
期    qī: period of time
化    huà: change, convert
花    huā: flower, spend, expand
华    huá: magnificent, splendid, China, Chinese
事    shì: after, thing
笔    bǐ: pen
让    ràng: let, allow, give away
因    yīn: cause, because
母    mǔ: mother
每    měi: each, pair
海    hǎi: sea
高    gāo: high, tall
京    jīng: capital
影    yǐng: shadow, photograph
电    diàn: electricity, telegram, cable
平    píng: flat, even, put down, suppress, calm, peaceful
包    bāo: wrap, package
衣    yī: clothes
被    bèi: cover, to wear, quilt, by (in passive voice )
装    zhuāng: outfit, clothing, act, dress up, load, pack
故    gù: former, old, incident, reason
做    zuò: to do, to make
飞    fēi: to fly
图    tú: map, picture
运    yùn: carry, transport
加    jiā: plus, to add
号    huā / hào: howl, yell / name, date, number
件    jiàn: letter, document
令    lìng: order, command, make, cause
领    lǐng: collar, lead, usher
里    lǐ: lining, inside, in, Chinese unit of length = 500 meters
理    lǐ: reason, logic, natural, science, manage, run
求    qiú: beg, seek, strike for
球    qiú: sphere, globe, ball
谢    xiè: thank
由    yóu: cause, reason, from
众    zhòng: crowd
知    zhī: know, realize, knowledge
道    dào: direction, road, way, speak, say
边    biān: side, boundary, border
病    bìng: illness, to get sick
次    cì: second-rate, inferior, rate
决    jué: decide, determinate
冷    lěng: cold
准    zhǔn: allowed, standard, accurate
死    sǐ: die, dead, extremely
就    jiù: come near, undertake, accomplish, at once, right away
